time,distance,new_price,temperature,rain_amount,wind_speed,humidity
06:16:00,7.46,118493.82,24.3,0.0,4.5,84.7
19:57:00,8.13,123379.39,29.7,0.0,2.5,68.4
14:53:00,3.3,53809.8,33.0,0.0,8.2,56.4
10:38:00,7.11,98371.18,26.8,0.0,6.5,78.5
07:41:00,12.71,252859.13,34.3,0.0,2.8,68.9
20:27:00,4.77,76502.81,34.7,0.0,1.3,63.1
06:28:00,4.32,69243.2,16.7,0.0,1.8,100.0
18:42:00,3.89,87251.15,31.6,2.7,1.5,70.4
22:02:00,2.63,51058.71,23.4,0.0,0.7,83.9
10:51:00,6.83,106104.68,28.4,22.4,2.7,100.0
10:09:00,4.33,71222.39,28.6,18.5,2.8,100.0
23:58:00,4.16,75256.45,25.9,0.0,5.7,83.8
20:41:00,6.32,89138.36,35.8,1.2,3.7,67.2
03:13:00,6.62,118013.88,24.4,0.0,0.7,73.2
07:11:00,3.32,74476.86,26.5,2.5,3.3,74.9
23:46:00,3.36,59148.74,27.0,0.0,3.3,82.8
02:41:00,3.28,63631.07,22.8,33.7,1.8,100.0
21:29:00,12.89,204898.37,25.7,0.0,6.3,77.6
20:31:00,9.38,139069.93,32.8,0.0,6.7,59.1
01:31:00,6.38,115682.14,28.7,0.0,3.5,78.5
23:41:00,3.71,68061.67,24.6,0.0,1.0,87.9
11:31:00,3.94,61081.02,23.1,0.0,2.7,84.1
05:25:00,5.37,89920.69,22.6,0.0,4.3,84.4
01:50:00,13.53,261049.44,25.7,0.0,6.1,77.3
20:00:00,5.18,79178.35,27.4,2.7,2.9,72.9
00:55:00,5.78,111517.14,24.9,0.0,9.2,80.5
11:57:00,1.25,19290.2,30.0,0.0,2.7,71.9
21:41:00,5.1,75410.51,23.3,0.0,1.6,81.0
11:01:00,2.23,33933.96,30.0,0.0,5.2,74.8
16:16:00,3.51,82517.79,30.2,0.0,4.4,64.3
09:29:00,4.59,93954.68,23.2,0.0,1.3,88.0
15:55:00,3.85,63077.35,38.4,0.0,4.7,54.7
14:38:00,3.26,48581.27,28.8,0.0,4.4,77.2
14:06:00,3.28,53616.04,31.8,0.0,1.4,70.8
18:51:00,4.03,95345.97,29.3,4.6,3.6,78.8
11:26:00,3.95,62355.05,22.5,6.0,14.9,89.7
22:08:00,4.53,81050.0,27.7,0.0,0.8,79.9
19:21:00,4.36,66556.46,29.5,0.0,10.3,66.8
02:33:00,8.49,161518.25,24.7,35.5,1.8,100.0
04:45:00,1.61,29162.61,22.6,0.0,6.4,74.1
18:48:00,5.07,117597.37,30.6,3.8,9.0,70.4
06:00:00,4.64,73704.21,23.5,0.0,1.7,86.3
20:08:00,4.19,63027.47,31.8,0.0,5.9,64.1
08:19:00,3.15,66472.08,27.8,0.0,1.5,62.8
06:52:00,4.16,58607.33,21.7,0.0,2.1,85.9
17:18:00,1.98,43040.18,37.4,0.0,2.3,46.9
03:35:00,4.97,95491.89,26.0,0.0,5.5,68.0
13:59:00,5.44,87176.02,30.0,0.0,5.6,74.4
17:39:00,3.15,66282.98,33.7,0.0,2.6,67.3
08:44:00,11.83,261462.9,28.8,0.0,2.4,71.5
20:03:00,4.22,57286.19,29.8,0.0,3.6,76.3
01:08:00,4.58,81894.4,23.7,0.0,1.1,78.3
19:40:00,8.74,119755.77,29.5,18.6,1.4,100.0
14:21:00,13.08,214591.77,35.5,0.0,4.3,54.2
06:17:00,2.56,41956.99,25.4,3.0,0.3,91.6
11:11:00,3.36,51490.68,31.6,0.0,0.6,73.1
07:41:00,4.26,88028.86,28.3,0.0,12.6,73.8
14:42:00,3.09,46479.42,35.4,0.0,6.3,59.9
02:38:00,6.84,128536.89,28.1,0.0,5.6,70.5
13:08:00,2.93,41454.89,38.4,25.6,6.9,100.0
16:05:00,8.44,188484.58,35.9,0.0,1.5,66.3
03:18:00,6.12,114546.21,23.5,0.0,1.8,85.6
17:47:00,8.02,177947.94,33.2,0.0,3.9,66.5
07:46:00,2.93,57459.08,25.9,0.0,1.9,78.4
03:06:00,3.7,66676.74,22.4,0.0,3.2,78.7
01:15:00,7.02,131390.04,23.6,0.0,1.8,86.1
05:04:00,6.41,124603.66,22.8,0.0,5.1,85.8
21:15:00,3.88,52850.07,24.9,0.0,8.2,74.2
09:00:00,4.17,88053.36,23.0,0.0,11.5,86.5
03:50:00,3.61,64381.04,23.2,0.0,2.6,84.2
21:36:00,4.11,58524.41,27.7,0.0,2.1,76.4
17:38:00,2.77,63373.56,28.6,0.0,3.2,71.3
11:18:00,2.54,35580.44,32.6,0.0,1.5,66.9
01:53:00,7.41,128560.51,26.5,9.8,3.8,88.9
09:36:00,4.04,88347.89,29.9,0.0,8.1,70.2
03:16:00,7.97,142510.51,28.1,0.0,4.2,71.9
13:25:00,6.04,99504.35,35.1,0.0,2.1,71.1
15:21:00,5.24,76790.87,33.5,0.0,1.6,69.3
14:07:00,3.14,46785.08,34.4,0.0,2.5,62.5
07:32:00,2.45,49908.08,31.9,9.5,1.2,82.4
13:01:00,3.57,50673.99,31.1,0.0,7.5,62.5
22:29:00,9.64,185739.36,22.4,0.0,4.0,94.1
07:46:00,6.99,152007.57,24.4,0.0,7.7,87.2
20:19:00,3.4,49350.9,26.4,0.0,2.0,69.8
15:59:00,3.59,55953.49,36.3,1.3,1.4,62.1
12:17:00,2.82,46181.31,33.9,0.0,2.1,61.6
17:42:00,2.07,43881.92,26.1,0.0,1.8,79.4
14:56:00,4.72,67397.36,29.0,20.0,6.1,100.0
20:09:00,10.62,149730.44,33.0,0.0,14.3,59.2
23:23:00,10.68,204178.39,29.5,0.0,4.9,55.6
12:55:00,6.07,85258.63,36.6,0.0,3.8,54.1
08:03:00,3.32,67720.28,27.7,0.0,4.2,64.4
14:36:00,2.17,32853.03,26.8,0.0,1.6,76.5
12:03:00,7.56,116223.09,33.9,0.0,6.4,56.1
00:12:00,5.6,106066.74,24.3,0.0,2.3,92.5
06:24:00,3.83,56329.98,26.3,0.0,5.7,78.7
08:12:00,3.52,74273.67,22.6,7.3,10.6,100.0
23:17:00,6.05,117366.92,28.5,0.0,4.8,77.8
00:58:00,2.96,51557.85,27.7,24.4,6.9,100.0
11:23:00,5.05,71950.02,25.1,0.0,1.8,77.6
07:01:00,2.44,52680.93,23.6,0.0,0.5,76.9
23:47:00,13.66,256935.64,27.7,0.0,3.8,77.7
10:32:00,3.18,46868.01,21.7,0.0,2.3,83.2
18:57:00,6.2,134114.48,31.9,26.2,2.1,100.0
16:18:00,2.46,57455.99,33.3,0.0,1.1,64.0
07:08:00,4.13,88850.94,27.5,0.0,1.6,79.9
02:27:00,6.97,133419.49,19.9,0.0,7.5,91.1
02:34:00,7.77,147916.94,23.7,0.0,8.0,80.4
00:56:00,6.56,112351.64,27.9,0.0,9.9,69.3
04:38:00,4.18,79452.54,23.3,0.9,2.9,87.1
09:09:00,3.21,64330.38,27.0,10.8,0.8,95.4
06:00:00,2.61,42073.94,20.7,0.0,5.0,96.2
08:41:00,9.51,207330.06,27.0,0.0,4.0,70.2
06:20:00,4.72,71780.39,25.8,13.6,1.7,100.0
08:08:00,5.18,110914.07,23.9,0.0,2.7,80.2
07:59:00,8.03,159012.81,23.7,3.1,3.9,89.9
11:46:00,6.01,81849.29,25.0,20.4,2.0,100.0
01:14:00,4.21,73554.86,26.1,0.0,2.9,90.0
00:34:00,6.5,123316.67,20.7,0.0,3.4,85.9
15:56:00,3.28,48906.52,32.1,0.0,0.3,63.0
22:04:00,2.06,35431.58,27.2,0.0,3.0,67.8
22:40:00,9.08,172526.7,22.2,0.0,1.6,84.3
23:57:00,3.42,58820.27,31.6,28.8,6.0,100.0
04:21:00,3.85,72928.04,28.0,6.1,6.3,91.3
02:40:00,4.02,71841.51,23.2,16.4,2.5,100.0
11:22:00,3.32,49383.67,22.4,0.0,0.7,83.2
